,Discord Handle,mean,variance
0,marqu#1790,145.08924796976984,7.316505243047623
1,adriaparcerisas#5642,124.58469220327969,4.531626739069851
2,jackguy#1653,103.8730420953746,4.762928999695534
3,cristinatinto#3946,112.59891654840318,4.280509598327964
4,king4#6526,94.67122817870614,5.363042475293247
5,jxboi#6194,89.7027603068682,5.977552443346831
6,sandesh#8645,109.07681321463298,5.619777234862137
7,phu#7823,112.42812922598183,4.377570302252525
8,zanyar mohammady#1918,115.60981855816874,4.251910767546564
9,rmas#1206,137.76428585170467,5.8771542819127305
10,CarlOwOs#4288,100.6783079038638,4.081299403987498
11,Yousefi_1994#7190,139.48644493082398,6.069014739367905
12,SocioCrypto#1741,119.0039408655773,4.49889205432396
13,rmbourne#4124,100.79648402670205,4.312156892396334
14,Zackmendel#9535,100.87187244496776,4.310613106119789
15,ivanmolto#3768,97.28177473174348,4.36108948509658
16,mufasa#7638,95.30121511254843,4.946986465692522
17,Elvis#5877,93.65620475282884,4.152740351943195
18,amir007#3941,97.8682874941292,5.115092705779942
19,medarima555#8853,98.50387494524225,4.151843161911959
20,satsih#2415,113.5592785710312,5.098641003723921
21,Pope#0590,121.99939298823162,4.26257251670879
22,rajs#5814,89.41481024210168,4.819660451627453
23,Ola#4770,95.04938782639675,4.787176226493665
24,Nits#4900,99.4790765195435,4.42510856959826
25,manuelgg#7596,99.04392468824066,4.276503977272703
26,Zackmendel#9537,107.79913359138318,5.895612820625527
27,dinatim#3567,126.67001538148008,4.383131008068702
28,idris usta#6318,104.94048765220204,5.012793233012535
29,anahita#5043,87.94462108517779,4.830653587071415
30,Ali3N#8546,137.87635914295936,5.668114398433819
31,kianrequiem#5594,108.42496318257956,4.656076934176272
32,hess#0890,138.31076409056703,5.314258691488603
33,gordian_unknotted#6274,106.54938173914636,3.903826992275108
34,latsan#6466,88.06953028619468,4.466955733852367
35,BiffBuster#3810,89.24442434297924,7.392526812590858
36,.K#5496,103.48546750241796,4.761553300895468
37,Gökçin#5403,96.32764642236675,4.868732530536808
38,yesyes#4764,81.1297414131475,6.428198792892688
39,Thea#2970,98.0681560397221,5.766551828434
40,ALi#6526,88.66592461311305,5.896231625029063
41,smol data#9784,88.76769200106206,4.422607869665488
42,arbi7#0979,91.55589984000706,4.229428736244155
43,pope#0590,106.11643056032672,4.415806930305134
44,George_l#3984,115.70707802414128,4.508575594606305
45,tiklin406#3250,100.69987867785598,4.2815558884751175
46,rich_betoo#9127,99.07749323826673,4.13556531388727
47,0xE4E565C4a2A5050BA1020314c76420dd52D88Cd6,95.47716186819711,4.379285231298452
48,k.aliyari2020#9342,90.89367220776138,4.601704932913969
49,shaho#9058,105.21456286249504,4.067365317241234
50,zazu#9249,76.30078871435396,8.142932746654385
51,sqlcat4#7990,89.89289233110424,6.099623788995525
52,psydick#9063,82.78618544963055,4.600411842313053
53,Pierandrea#9603,90.39480848298936,4.774050126038313
54,Christlove73,85.70104907128781,5.403164315030273
55, hemin#1891,105.28898586711182,4.290593992024117
56,yas.n.d.r.h#5349,100.2856773236304,3.907014998282355
57,MC#1543,96.83782540486894,3.9823404592574967
58,mamad#8731,82.20383427531269,6.262630909933738
59,https://discord.gg/cJyhmXMy,90.65034466758178,6.044192343339655
